ID,id,ISSUE_DT,MATURITY,COUPON,ID_ISIN,CALLABLE,SERIES,INFLATION_LINKED_INDICATOR,CURRENCY
ED957814 Corp,ED957814 Corp,6/24/2005,1/15/2020,7.25,ZAG000024738,N,R207,N,ZAR
EC531811 Corp,EC531811 Corp,8/31/1995,7/1/2005,0,ZAG000015975,N,Z070,N,ZAR
EC532025 Corp,EC532025 Corp,4/12/1995,9/1/2002,0,ZAG000015900,N,Z064,N,ZAR
EC053751 Corp,EC053751 Corp,3/14/1994,6/30/2015,0,ZAG000015389,N,Z014,N,ZAR
EC523521 Corp,EC523521 Corp,4/21/1994,6/30/2014,0,ZAG000015421,N,Z019,N,ZAR
ED957798 Corp,ED957798 Corp,7/15/2005,1/15/2014,7.5,ZAG000024720,N,R206,N,ZAR
EC201421 Corp,EC201421 Corp,11/29/1999,3/30/2003,12.81,ZAG000016528,N,R193,N,ZAR
EC375097 Corp,EC375097 Corp,4/20/2001,2/28/2008,10,ZAG000017997,N,R194,N,ZAR
EC045480 Corp,EC045480 Corp,9/21/1998,3/21/2000,0,ZAG000016353,N,192,N,ZAR
ED430175 Corp,ED430175 Corp,5/7/2004,9/15/2017,8.25,ZAG000021833,N,R203,N,ZAR
ED430191 Corp,ED430191 Corp,8/13/2004,12/21/2018,8,ZAG000021841,N,R204,N,ZAR
EC546680 Corp,EC546680 Corp,4/2/2002,2/28/2005,12,ZAG000019332,N,R151,N,ZAR
EC546684 Corp,EC546684 Corp,4/2/2002,2/28/2006,12,ZAG000019340,N,R152,N,ZAR
EC047145 Corp,EC047145 Corp,2/16/1987,8/15/2008,13,ZAG000010448,N,R136,N,ZAR
EC983111 Corp,EC983111 Corp,5/30/2003,12/21/2014,8.75,ZAG000019878,N,R201,N,ZAR
EC558812 Corp,EC558812 Corp,5/15/2002,3/30/2007,8.67,ZAG000019365,N,R199,N,ZAR
EF006880 Corp,EF006880 Corp,7/1/2005,3/31/2012,0,ZAG000024712,N,R205,N,ZAR
EG976906 Corp,EG976906 Corp,6/22/1989,8/31/2010,13,ZAG000044124,N,R154,N,ZAR
EG977014 Corp,EG977014 Corp,6/22/1989,8/31/2009,13,ZAG000044116,N,R008,N,ZAR
EF159241 Corp,EF159241 Corp,11/1/2005,2/28/2007,10,ZAG000026709,N,R007,N,ZAR
EF159253 Corp,EF159253 Corp,11/1/2005,2/28/2008,10,ZAG000026691,N,R195,N,ZAR
EG976994 Corp,EG976994 Corp,6/22/1989,8/31/2011,13,ZAG000044132,N,R155,N,ZAR
EC531903 Corp,EC531903 Corp,9/1/1993,8/31/2013,0,ZAG000015330,N,Z006,N,ZAR
