ID,id,ISSUE_DT,MATURITY,COUPON,ID_ISIN,CALLABLE,SERIES,INFLATION_LINKED_INDICATOR,CURRENCY
435699// Corp,435699// Corp,#N/A Field Not Applicable,11/26/2000,5.5,CH0004356991,Y,#N/A Field Not Applicable,N,CHF
AA212859 Corp,AA212859 Corp,#N/A Field Not Applicable,4/7/1997,8.75,#N/A Field Not Applicable,N,B,N,FRF
298755AK Corp,298755AK Corp,4/12/1988,3/31/1995,11.625,US298755AK52,N,111,N,ITL
AF280907 Corp,AF280907 Corp,7/22/2015,7/4/2020,0.25,EU000A1Z4BZ0,N,EMTN,N,EUR
EC077351 Corp,EC077351 Corp,1/7/1999,12/22/2005,3.625,XS0093176609,N,EMTN,N,EUR
EC465247 Corp,EC465247 Corp,10/17/2001,10/17/2016,0.0000001,XS0137455019,N,EMTN,N,EUR
EC004519 Corp,EC004519 Corp,7/24/1998,7/24/2013,0.19786,XS0089030851,Y,EMTN,N,EUR
EC514206 Corp,EC514206 Corp,1/30/2002,1/30/2017,0.0000001,XS0142588689,N,EMTN,N,EUR
EC625816 Corp,EC625816 Corp,6/29/2000,6/29/2007,3.765,XS0113445000,N,EMTN,N,EUR
ED561385 Corp,ED561385 Corp,1/16/2004,1/16/2019,0,XS0184007580,N,EMTN,N,EUR
EC873502 Corp,EC873502 Corp,2/28/2003,2/28/2018,0,XS0163971996,N,EMTN,N,EUR
EC798763 Corp,EC798763 Corp,6/29/2000,6/29/2009,3.022,XS0113445349,N,EMTN,N,EUR
EC798707 Corp,EC798707 Corp,6/29/2000,6/29/2008,4.698,XS0113445182,N,EMTN,N,EUR
EC798174 Corp,EC798174 Corp,6/29/2000,6/29/2010,0.921,XS0113251069,N,EMTN,N,EUR
EC364976 Corp,EC364976 Corp,3/30/2001,3/30/2016,0.029,XS0127091618,Y,EMTN,N,EUR
EC163280 Corp,EC163280 Corp,7/30/1999,7/30/2009,2.154,XS0100424299,N,EMTN,N,EUR
EC987427 Corp,EC987427 Corp,6/4/2003,6/4/2018,0,XS0169454393,N,EMTN,N,EUR
EF268343 Corp,EF268343 Corp,2/9/2006,2/9/2021,0,XS0243530523,N,EMTN,N,EUR
EF336499 Corp,EF336499 Corp,3/23/2006,3/23/2021,0,XS0248924929,N,EMTN,N,EUR
